gene,metDir,HR_perSD,cox_p,concordant,cox_FDR
CRTAC1,gained,1.34,0.003223656529516533,True,0.12057402260315611
GABRP,lost,0.7,0.003816670109843712,True,0.12057402260315611
COL4A5,lost,1.34,0.0044261954374356476,False,0.12057402260315611
MEPE,gained,1.22,0.005089770757689158,True,0.12057402260315611
PDLIM3,lost,1.35,0.005796828009767121,False,0.12057402260315611
KRT17,lost,0.74,0.008781576967061621,True,0.14763399023572255
EGR3,lost,0.77,0.012423909900825668,True,0.14763399023572255
SERPINA3,lost,0.77,0.013887487304117001,True,0.14763399023572255
ACAN,gained,1.35,0.014128844507567032,True,0.14763399023572255
MMP7,lost,0.76,0.014600316712768683,True,0.14763399023572255
SIX2,gained,1.19,0.0156151335826245,True,0.14763399023572255
KRT14,lost,0.8,0.033720746270450755,True,0.2737567948541536
DLX5,gained,0.67,0.03535715561779363,False,0.2737567948541536
DSG3,lost,0.73,0.036851876230366835,True,0.2737567948541536
ALDH1A2,lost,1.19,0.05661302499031662,False,0.3692990868526948
ACP5,gained,0.81,0.056815244131183815,False,0.3692990868526948
ADAM23,lost,1.17,0.06119999221533973,False,0.37439995237619594
DMP1,gained,1.18,0.0672631548726759,True,0.38863156148657185
UBD,lost,0.84,0.07101798458350245,True,0.38873002087811864
SLC24A2,lost,0.85,0.07683644130505614,True,0.3995494947862919
SOX6,gained,0.73,0.09220126599310034,False,0.4566157934896398
GEM,lost,0.83,0.10397742067204312,True,0.49152962499511293
OSR1,lost,0.8,0.10879033228295247,True,0.49192150249682853
SCN7A,lost,0.78,0.13260820505115545,True,0.5180558117278737
DSC3,lost,0.82,0.1328959876327999,True,0.5180558117278737
MOXD1,lost,0.85,0.13476493285094215,True,0.5180558117278737
MYH1,lost,0.0,0.1415379331596392,True,0.5180558117278737
ACTG2,lost,0.83,0.14364552353900326,True,0.5180558117278737
ENPP2,gained,0.86,0.14445787057796478,False,0.5180558117278737
MYH13,lost,1.11,0.16774969312219407,False,0.5568969334992407
SAA1,lost,0.86,0.1717861953661541,True,0.5568969334992407
SORBS1,lost,1.14,0.1816760591166548,False,0.5568969334992407
KRT5,lost,0.85,0.18257439214012883,True,0.5568969334992407
COL6A6,lost,1.13,0.19108425206701327,False,0.5568969334992407
IBSP,gained,1.15,0.19153372426467574,True,0.5568969334992407
MFAP5,lost,1.14,0.19509643255567163,False,0.5568969334992407
SATB2,gained,1.14,0.19812679364876837,True,0.5568969334992407
CYP21A1P,lost,1.11,0.22490182137717007,False,0.5997381903391201
CYP21A2,lost,1.11,0.22490182137717007,False,0.5997381903391201
SPON1,lost,1.12,0.23743221345049317,False,0.6021885126448985
FGFR3,gained,1.12,0.24502621091304322,True,0.6021885126448985
CDH3,lost,0.89,0.24843746296945513,True,0.6021885126448985
SFRP2,lost,1.13,0.24898178888202532,False,0.6021885126448985
EPHA3,gained,0.89,0.2567862839596511,False,0.6069493984500844
PPP1R1B,lost,1.11,0.2969784538035116,False,0.6863502043458934
F2RL2,lost,0.91,0.31752074075642234,True,0.6898560449587727
BMP5,gained,0.91,0.31977317722390486,False,0.6898560449587727
ADAMTS12,lost,1.09,0.324144029694872,False,0.6898560449587727
KCND2,lost,1.09,0.3303547863767744,False,0.6898560449587727
MMP1,lost,1.1,0.331661560076333,False,0.6898560449587727
PTX3,gained,0.89,0.34598848656700076,False,0.6978547565434192
COL17A1,lost,1.1,0.3556263742168504,False,0.6978547565434192
LRP4,gained,1.08,0.35563752016155015,True,0.6978547565434192
MYH8,lost,0.71,0.36240228075169223,True,0.6979599481143702
KIT,lost,0.91,0.38918552790117233,True,0.7359144527585805
SCN2A,lost,1.11,0.40060086691469265,False,0.7395657062515508
TBX5,lost,1.09,0.4109812037110202,False,0.7395657062515508
C4A,lost,1.09,0.41956131412347597,False,0.7395657062515508
C4B,lost,1.09,0.41956131412347597,False,0.7395657062515508
FAT2,lost,1.1,0.4345623988108751,False,0.7532414912721835
MYH2,lost,0.52,0.44512230196991764,True,0.7588970394241219
ISM1,lost,0.93,0.4719355416082558,True,0.7742016775564478
SLC9B2,gained,0.93,0.47521674443806383,False,0.7742016775564478
SP7,gained,0.93,0.47643180157319864,False,0.7742016775564478
PIK3C2G,lost,1.07,0.48944507805164517,False,0.7831121248826323
MEG3,lost,0.92,0.5026521074312578,True,0.7920578662553153
SMOC1,gained,0.93,0.5248621099061938,False,0.8056554711591294
MMP9,gained,0.94,0.5304380837988241,False,0.8056554711591294
CDH15,gained,1.07,0.5345214183651916,True,0.8056554711591294
NRG1,lost,0.92,0.5810905220314267,True,0.8433402262104848
FOXC2,gained,0.93,0.5819670165784995,False,0.8433402262104848
ACTA2,lost,1.05,0.5838509258380279,False,0.8433402262104848
NOX4,lost,1.05,0.5970422034953853,False,0.846195931921661
SORCS2,lost,1.05,0.6021009515596434,False,0.846195931921661
SPARCL1,lost,0.95,0.6225680766776168,True,0.8632943996596286
LAMA1,lost,0.95,0.6561697392118209,True,0.8979164852372286
MYL9,lost,1.04,0.6685453303402109,False,0.9029703163036615
