gene,module,degree,direction_in_BoM,candidate_target
MYH13,0,2,lost,False
MYH1,0,2,lost,False
MEPE,0,2,gained,False
MYH4,0,2,lost,False
MYH2,0,1,lost,False
MYH8,0,1,lost,False
PPFIA2,0,1,gained,False
DEFA3,0,1,gained,False
EPHA3,0,0,gained,True
FGFR3,0,0,gained,True
BMP5,0,0,gained,False
SATB2,0,0,gained,False
GRIA3,0,0,lost,False
CDH15,0,0,gained,False
PPP1R1B,0,0,lost,False
SCN7A,0,0,lost,False
PIK3C2G,0,0,lost,True
DMP1,0,0,gained,False
KCNJ15,0,0,gained,False
SP7,0,0,gained,False
SIX2,0,0,gained,False
ANO5,0,0,gained,False
DLX5,2,4,gained,False
ALDH1A2,2,1,lost,False
PRSS35,2,1,gained,False
LRP4,2,0,gained,False
SCN2A,2,0,lost,False
GJB2,3,10,lost,False
MMP1,3,6,lost,False
MMP9,3,2,gained,False
IBSP,3,1,gained,False
ACP5,3,1,gained,False
ADAM23,4,2,lost,False
NRG1,4,2,lost,True
TBX5,4,1,lost,False
LAMA1,4,1,lost,False
GABRP,6,21,lost,False
PTX3,6,18,gained,False
MMP7,6,16,lost,False
CDH3,6,14,lost,False
KRT17,6,14,lost,False
DSC3,6,14,lost,False
KRT14,6,14,lost,False
DSG3,6,13,lost,False
FOXC2,6,13,gained,False
KRT5,6,13,lost,False
ACTG2,6,12,lost,False
KIT,6,9,lost,True
FAT2,6,8,lost,False
LAMB3,6,8,lost,False
OSR1,6,7,lost,False
CYP26B1,6,5,gained,False
SOX6,6,5,gained,False
UBD,6,4,lost,False
ACAN,6,3,gained,False
MOXD1,6,2,lost,False
CRTAC1,6,2,gained,False
SMOC1,6,2,gained,False
ITGA10,6,1,gained,False
SLC9B2,6,1,gained,False
PDLIM3,6,0,lost,False
ALPL,6,0,gained,False
TUBB3,6,0,lost,True
SFRP2,7,27,lost,True
SPON1,7,26,lost,False
PODN,7,25,lost,False
LAMA2,7,25,lost,False
TAGLN,7,23,lost,False
ZFPM2,7,23,lost,False
MFAP4,7,22,lost,False
FMO1,7,21,lost,False
NOX4,7,21,lost,False
ISM1,7,21,lost,False
ACTA2,7,21,lost,False
ADAMTS12,7,21,lost,False
SPARCL1,7,21,lost,False
MYL9,7,20,lost,False
MFAP5,7,20,lost,False
CNN1,7,19,lost,False
GEM,7,19,lost,False
CILP,7,18,lost,False
SPON2,7,18,lost,False
SORCS2,7,16,lost,False
WNT2,7,14,lost,False
MMP3,7,14,lost,False
SLC24A2,7,12,lost,False
F2RL2,7,12,lost,False
TNXA,7,10,lost,False
GULP1,7,9,lost,False
ENPP2,7,8,gained,False
RGS4,7,7,lost,False
SORBS1,7,4,lost,False
SAA1,7,4,lost,False
COL6A6,7,3,lost,False
KCND2,7,1,lost,False
COL17A1,7,0,lost,False
MEG3,7,0,lost,False
C4B,9,7,lost,False
C4A,9,7,lost,False
CYP21A1P,9,3,lost,False
CYP21A2,9,3,lost,False
EGR3,9,2,lost,False
COL4A5,9,0,lost,False
SERPINA3,9,0,lost,False
